IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
194.53.53.9,4,4,0.00,186.63,66.53
154.219.5.49,4,4,0.00,205.87,65.99
194.53.53.9,4,4,0.00,187.85,43.14
194.53.53.9,4,4,0.00,188.00,38.09
194.53.53.4,4,4,0.00,186.77,37.96
194.53.53.7,4,1,0.75,184.17,37.62
194.53.53.8,4,4,0.00,177.00,36.58
194.53.53.8,4,4,0.00,226.02,36.47
194.53.53.5,4,3,0.25,186.77,36.46
194.53.53.247,4,4,0.00,217.30,36.23
194.53.53.7,4,4,0.00,237.28,36.19
194.53.53.254,4,4,0.00,232.06,36.15
154.219.5.184,4,4,0.00,181.88,36.12
194.53.53.247,4,4,0.00,188.07,35.99
194.53.53.9,4,4,0.00,179.18,35.95
194.53.53.35,4,2,0.50,177.22,35.82
194.53.53.4,4,4,0.00,193.04,35.24
194.53.53.249,4,3,0.25,185.32,35.20
194.53.53.252,4,4,0.00,199.78,35.04
194.53.53.249,4,1,0.75,189.92,35.01
194.53.53.252,4,4,0.00,185.74,34.67
194.53.53.250,4,4,0.00,225.82,34.50
194.53.53.9,4,4,0.00,219.30,34.03
194.53.53.6,4,4,0.00,196.22,33.97
194.53.53.254,4,4,0.00,230.33,33.32
194.53.53.250,4,4,0.00,185.48,32.90
194.53.53.6,4,4,0.00,197.66,32.84
194.53.53.3,4,4,0.00,188.14,32.76
194.53.53.7,4,4,0.00,176.81,32.71
194.53.53.248,4,4,0.00,177.36,31.90
194.53.53.4,4,4,0.00,191.01,31.46
194.53.53.254,4,4,0.00,229.44,31.37
194.53.53.88,4,4,0.00,176.61,30.54
194.53.53.250,4,4,0.00,176.69,30.05
194.53.53.10,4,4,0.00,176.91,29.97
194.53.53.3,4,4,0.00,178.69,29.85
194.53.53.254,4,4,0.00,181.32,29.61
194.53.53.247,4,4,0.00,177.90,29.12
206.238.236.74,4,2,0.50,227.84,29.03
194.53.53.6,4,4,0.00,179.41,28.19
194.53.53.252,4,4,0.00,188.43,27.57
194.53.53.246,4,4,0.00,179.43,27.43
194.53.53.250,4,4,0.00,176.02,27.24
194.53.53.6,4,4,0.00,235.17,27.24
194.53.53.252,4,4,0.00,176.90,27.19
194.53.53.3,4,4,0.00,178.30,27.17
194.53.53.247,4,4,0.00,190.54,26.70
194.53.53.252,4,2,0.50,182.83,25.90
194.53.53.250,4,4,0.00,177.68,25.78
194.53.53.7,4,4,0.00,235.64,25.63
194.53.53.6,4,4,0.00,232.31,24.74
194.53.53.4,4,4,0.00,182.37,24.15
194.53.53.4,4,4,0.00,178.09,23.45
194.53.53.7,4,4,0.00,176.75,22.60
194.53.53.72,4,1,0.75,179.78,20.37
194.53.53.5,4,4,0.00,244.82,18.82
154.219.5.2,4,4,0.00,180.75,18.21
194.53.53.6,4,4,0.00,175.96,17.94
194.53.53.3,4,4,0.00,176.62,15.80
194.53.53.247,4,4,0.00,186.18,14.02
194.53.53.247,4,4,0.00,199.06,11.79
